id,raw_text,source_platform,timestamp,lat,long,ward,category_raw,image_url,citizen_id_masked
CMP-BF5D78AC,Third floor flats get almost no water. The pressure is inadequate for upper floors.,synthetic,2026-08-02T14:41:00,12.922874,77.583291,Jayanagar 4th T Block,low_pressure,,CIT-1496
CMP-11D7184D,Multiple cases of waterborne illness reported in BTM Layout Junction ward. 12 people admitted to hospital last week.,synthetic,2026-08-05T07:02:00,12.96716,77.757759,Whitefield Main Road,disease_outbreak,,CIT-2592
CMP-8EB8D6B0,Streetlights on NEED Cross Road road are not working for the past week. The road is pitch dark at night. Safety concern.,synthetic,2026-08-26T08:22:00,12.969767,77.751447,Whitefield Main Road,streetlight,,CIT-6447
CMP-76E768EA,Live electrical wire hanging low near 1st Main Road. Very dangerous for pedestrians and vehicles.,synthetic,2026-08-24T15:56:00,12.936414,77.619508,Koramangala 4th Block,electrical_hazard,,CIT-2758
CMP-210BACD9,Multiple cases of waterborne illness reported in 80 Feet Road ward. 12 people admitted to hospital last week.,synthetic,2026-08-30T11:06:00,12.915342,77.572128,Jayanagar 4th T Block,disease_outbreak,,CIT-4144
CMP-F4EBE766,Live electrical wire hanging low near HAL 2nd Stage. Very dangerous for pedestrians and vehicles.,synthetic,2026-08-24T18:20:00,12.935295,77.608986,Koramangala 1st Block,electrical_hazard,,CIT-1085
CMP-75AE60C3,Overflowing drain outside HAL 2nd Stage school. Children have to walk past the stinking water every day.,synthetic,2026-08-19T18:43:00,12.979055,77.640777,Indiranagar,blocked_drain,,CIT-3925
CMP-CD69D9A6,Road construction was done poorly near Anepalya Junction. The surface started breaking within 6 months.,synthetic,2026-08-28T06:38:00,12.922229,77.617983,Koramangala 4th Block,road_damage,,CIT-3955
CMP-5B164BB3,Terrible stench from the NEED Cross Road area due to untreated sewage mixing with rainwater runoff.,synthetic,2026-08-26T15:05:00,12.920216,77.580772,Jayanagar 4th T Block,foul_smell,,CIT-7818
CMP-3FDB5E14,The municipal garbage collection van comes only twice a week. Waste piles up on the road causing health issues.,synthetic,2026-08-04T14:49:00,12.920408,77.61803,Koramangala 1st Block,garbage,,CIT-5678
CMP-3799DCD0,The electric pole near NEED Cross Road is tilted and the wires are touching the ground. Electrocution risk.,synthetic,2026-08-18T09:20:00,12.983642,77.646436,Indiranagar,electrical_hazard,,CIT-5382
